,DateApproved,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,Not Available,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
0,2020-04-03,28,40,92,0,59,372,137,82,1,2,74,86,7,144,354,130,280,109,398,288,78,428,19,87,143,589,697,1,106,389,68,366,656,116,45,59,27,110,0,274,257,61,224,2,58,21,209,53,448,80,142,0,84,91,505,21,99
1,2020-04-04,84,114,297,0,139,629,360,156,20,5,424,229,3,155,559,101,768,375,455,371,236,633,123,188,365,881,773,0,217,269,153,270,714,132,74,59,44,388,0,473,580,91,546,5,108,101,147,124,1409,165,308,0,88,194,723,82,108
2,2020-04-05,41,582,247,0,286,991,492,275,21,12,803,285,2,309,374,71,1336,448,435,384,301,497,236,230,362,907,672,0,165,102,250,180,250,150,168,45,84,582,0,625,537,104,758,6,159,172,124,263,1775,125,425,2,106,231,765,124,69
3,2020-04-06,80,622,395,0,362,1445,813,424,53,61,887,557,11,191,592,212,1622,647,565,582,453,803,422,281,655,1281,1086,1,275,167,319,250,440,258,365,177,122,819,0,1043,675,131,894,15,138,194,208,438,2424,279,686,0,125,481,928,122,154
4,2020-04-07,105,670,389,0,542,2041,1093,518,73,163,1454,973,9,228,660,317,2018,1071,618,557,548,1187,528,382,1062,1274,1024,1,387,157,757,169,412,385,598,189,221,1104,0,1556,785,212,1298,41,166,397,200,789,3040,345,1088,1,178,837,1305,202,144
5,2020-04-08,80,574,362,0,457,2047,1117,473,74,140,1671,1060,11,160,530,178,1883,978,545,486,511,1043,585,299,1007,1064,984,0,254,129,997,165,313,285,630,172,276,1180,0,1450,642,212,1269,45,154,394,151,763,3023,358,1084,4,143,488,1324,160,92
6,2020-04-09,71,582,275,0,532,2727,832,417,132,100,2044,1270,12,180,493,224,1978,990,464,475,584,882,656,230,1023,1024,944,0,235,144,1162,99,263,198,926,168,246,1613,0,1494,577,375,1662,62,106,481,144,806,3718,299,1215,1,128,702,1259,182,88
7,2020-04-10,72,552,272,1,559,3445,747,424,134,101,2517,1340,11,207,454,221,1631,976,328,398,528,926,653,189,1230,974,765,1,320,134,1219,93,185,217,1119,194,206,2130,0,1583,491,483,1707,47,111,503,122,803,3287,384,1220,5,120,764,938,149,86
8,2020-04-11,59,353,163,0,504,3175,707,430,96,62,2406,929,5,212,171,140,1088,731,252,213,344,806,505,181,880,586,411,0,181,86,920,44,75,134,967,134,150,1779,0,1272,321,444,1180,28,61,613,51,526,2387,282,835,3,73,650,518,103,52
9,2020-04-12,47,181,64,0,197,1740,310,221,51,52,1260,452,5,139,43,80,371,182,69,51,266,437,160,74,449,184,125,3,102,27,348,19,12,83,630,56,52,930,0,551,43,222,617,48,35,375,8,265,1156,138,288,1,35,377,143,27,16
