,ServicingLenderName,ServicingLenderLocationID,OriginatingLender,LoanNumber,CurrentApprovalAmount,LenderProfit,AverageLoanAmount
120,"PNC Bank, National Association",44449,First Source FCU,4932,3090522066.33,85386538.12,626626.5341301702
97,Loan Source Incorporated,188567,Northeast Bank,5060,2218244718.98,78691681.74,438388.28438339924
18,Customers Bank,121536,"Readycap Lending, LLC",3396,1433558214.89,48604374.18,422131.39425500593
100,Loan Source Incorporated,188567,Pacific Premier Bank,1532,1020241680.69,28150254.36,665954.0996671019
76,Loan Source Incorporated,188567,Dime Community Bank,958,497997558.47,17129459.44,519830.43681628397
72,Loan Source Incorporated,188567,Cadence Bank,1007,421575084.34,14688478.05,418644.57233366434
109,Loan Source Incorporated,188567,Webster Bank National Association,625,383121600.0,10889972.0,612994.56
15,Cross River Bank,456756,"Kabbage, Inc.",1103,373307271.85,14680982.45,338447.2092928377
101,Loan Source Incorporated,188567,Peapack-Gladstone Bank,607,329941495.0,11277730.99,543560.9472817134
39,Fountainhead SBF LLC,524612,Greater Nevada CU,762,325676257.85,12074977.32,427396.6638451444
71,Loan Source Incorporated,188567,"Blue Ridge Bank, National Association",790,297764582.52,11323705.4,376917.19306329114
84,Loan Source Incorporated,188567,Flagstar Bank National Association,460,284985700.0,7932785.0,619534.1304347826
73,Loan Source Incorporated,188567,"Citizens Bank, National Association",440,259292816.95,7523988.15,589301.8567045454
59,"Lendistry SBLC, LLC",538160,"BSD Capital, LLC dba Lendistry",617,253946132.0,8833225.22,411582.06158833066
110,Loan Source Incorporated,188567,"Wilmington Savings Fund Society, FSB",422,244536243.0,7020992.15,579469.7701421801
42,Georgia's Own Credit Union,95003,Vinings Bank,342,222312476.36,6335450.3,650036.4805847954
98,Loan Source Incorporated,188567,"OceanFirst Bank, National Association",499,222063672.78,7531919.67,445017.38032064127
106,Loan Source Incorporated,188567,Stearns Bank National Association,361,209441725.97,5723832.84,580170.986066482
69,Loan Source Incorporated,188567,BayFirst National Bank,498,203886031.0,7508098.99,409409.7008032129
108,Loan Source Incorporated,188567,Trustmark National Bank,441,197646949.94,7091801.58,448179.02480725624
111,Loan Source Incorporated,188567,b1BANK,334,189092692.15,6064121.5,566145.7848802395
74,Loan Source Incorporated,188567,Columbia Bank,402,167935649.03,5974408.68,417750.37072139303
61,Lendistry-Federal Reserve Contract,596038,"Kabbage, Inc.",358,145912841.0,5276047.11,407577.7681564246
126,Quontic Bank,433860,Intuit Financing Inc.,508,144107433.0,6042342.3100000005,283676.0492125984
77,Loan Source Incorporated,188567,EagleBank,303,137737759.43,4892641.09,454580.06412541255
58,Lake Michigan CU,98993,Pilot Bank,244,125641143.19,4061526.57,514922.71799180325
13,"Community Banks of Colorado, A Division of",478121,Bank of Jackson Hole Trust,173,112384889.0,3462264.17,649623.6358381503
55,LINKBANK,60250,LinkBank,185,110427217.61,3493551.02,596903.878972973
22,DFCU Financial CU,99098,First Citrus Bank,275,101192941.0,3759235.83,367974.33090909093
31,First Citizens Community Bank,61007,Huntingdon Valley Bank,175,101181616.0,3072831.05,578180.6628571429
29,Fed – Kabbage,593324,"Kabbage, Inc.",301,93815462.0,3765836.88,311679.27574750833
67,Loan Source Incorporated,188567,BCB Community Bank,164,89432932.0,2797144.5,545322.756097561
136,"Square Capital, LLC",529050,Celtic Bank Corporation,317,85393411.77,3684117.48,269379.8478548896
20,Customers Bank,121536,WebBank,321,84063177.0,3636976.25,261879.05607476635
10,"Capital Plus Financial, LLC",529472,Hanmi Bank,215,77253826.98,3006921.57,359320.1254883721
105,Loan Source Incorporated,188567,Southern First Bank,169,68707769.6,2434356.8,406554.84970414196
125,Quontic Bank,433860,"FC Marketplace, LLC (dba Funding Circle)",243,61507543.9,2795176.77,253117.46460905348
64,Loan Source Incorporated,188567,"Amerant Bank, National Association",140,56936377.05,2079112.07,406688.4075
16,Customers Bank,121536,"Amur Equipment Finance, Inc.",184,56931553.0,2248926.13,309410.61413043475
3,Arizona Financial Credit Union,91374,Horizon Community Bank,158,56836493.17,2124004.07,359724.6403164557
1,American Lending Center,530223,The Enterprise Center Capital Corporation,92,54007541.99,1693271.67,587038.4998913044
82,Loan Source Incorporated,188567,FirstBank,111,49992217.0,1676440.77,450380.3333333333
17,Customers Bank,121536,"Leader Bank, National Association",153,48006176.0,1941882.16,313765.85620915034
6,Bank of Ann Arbor,119903,Nicolet National Bank,117,42515900.0,1633807.0,363383.7606837607
80,Loan Source Incorporated,188567,First Reliance Bank,86,36114492.23,1245870.52,419935.95616279065
94,Loan Source Incorporated,188567,Mission Valley Bank,53,30232687.98,1011664.27,570428.0750943397
66,Loan Source Incorporated,188567,Axos Bank,38,27407174.89,694542.5,721241.4444736842
115,Morton Community Bank,22097,Marine Bank,72,25611420.81,991145.91,355714.17791666667
104,Loan Source Incorporated,188567,Signature Bank of Georgia,55,23220729.27,835380.61,422195.0776363636
44,GreenState CU,97100,Oxford Bank & Trust,59,23034975.66,887477.1,390423.31627118646
129,Robins Financial CU,95096,Persons Banking Company,48,20873101.93,728474.3200000001,434856.29020833335
19,Customers Bank,121536,The Enterprise Center Capital Corporation,47,17984670.0,685710.16,382652.55319148937
95,Loan Source Incorporated,188567,Nano Banc,36,17631100.0,562483.0,489752.77777777775
112,Lone Star State Bank of West Texas,69095,Amarillo National Bank,10,16856100.0,261891.0,1685610.0
9,BayFirst National Bank,123499,Loan Source Incorporated,34,16104548.9,553079.24,473663.2029411765
56,"Lake Forest Bank & Trust Company, National Association",117732,"Village Bank and Trust, National Association",19,15330250.0,422288.7,806855.2631578947
146,Tinker FCU,103580,Prime Bank,26,14105431.0,486744.77,542516.5769230769
91,Loan Source Incorporated,188567,"Malvern Bank, National Association",31,14055678.31,443666.64,453408.9777419355
89,Loan Source Incorporated,188567,Kearny Bank,63,11844919.69,592245.96,188014.59825396826
50,Hope Enterprise Corporation,487365,Hope FCU,14,11352726.95,301566.19,810909.0678571428
88,Loan Source Incorporated,188567,Herring Bank,35,11014775.56,448332.1,314707.87314285716
37,First Western Trust Bank,373048,Simmons Bank,29,10633400.0,399732.0,366668.9655172414
90,Loan Source Incorporated,188567,KeyPoint CU,36,10334787.96,433912.14,287077.44333333336
68,Loan Source Incorporated,188567,BNC National Bank,14,10177100.0,230459.0,726935.7142857143
93,Loan Source Incorporated,188567,Merchants & Marine Bank,28,10136434.32,398847.74,362015.5114285714
138,"TD Bank, National Association",29805,United Bank of Philadelphia,1,10000000.0,100000.0,10000000.0
70,Loan Source Incorporated,188567,Bethpage FCU,32,9568379.3,393358.46,299011.853125
