,ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,EstimatedLenderProfit,AverageLoanAmount
2354,"JPMorgan Chase Bank, National Association",48270,57221,29786388834.07,915302720.62,520549.95253613184
306,"Bank of America, National Association",9551,40259,20397367293.01,632420643.56,506653.6002635435
2975,"PNC Bank, National Association",44449,25460,16499981848.11,453774717.33,648074.6994544384
4299,Truist Bank,225134,20955,12366734380.93,361566473.01,590156.7349525173
2587,Manufacturers and Traders Trust Company,46391,17118,10538285481.99,302409648.04,615625.9774500525
2409,KeyBank National Association,56102,13442,8856827829.46,242747675.85,658892.1164603481
4060,The Huntington National Bank,57328,14212,8501734663.85,244029669.25,598208.1806818182
4317,"U.S. Bank, National Association",53803,16461,8364909138.05,254337475.48,508165.30818601546
267,BMO Harris Bank National Association,21442,12070,8326948072.2,222930965.04,689887.9927257664
3679,"TD Bank, National Association",29805,15397,8249007736.77,248424495.05,535754.2207423524
2525,Loan Source Incorporated,188567,15939,7796549987.01,257101079.03,489149.2557255788
4623,"Zions Bank, A Division of",72601,12696,7579018705.91,218633228.07,596961.145708097
4528,"Wells Fargo Bank, National Association",12096,15454,6552661594.0,219222068.92,424010.71528406884
1468,Fifth Third Bank,58036,8522,5593727207.83,154549341.75,656386.670714621
874,City National Bank,4924,7440,5078919101.76,138652787.29,682650.4169032258
813,"Citizens Bank, National Association",434162,7824,4505772020.72,128836910.15,575891.1069427403
1642,First Horizon Bank,67422,7607,4339799440.11,128828852.41,570500.7808741948
3267,Regions Bank,2408,7510,4287568461.46,123758339.1,570914.5754274301
925,Comerica Bank,33850,5186,4275550283.86,107996449.24,824440.8568954879
1913,First-Citizens Bank & Trust Company,51009,7728,3830096391.73,121483602.16,495612.8871286232
1136,Customers Bank,121536,9309,3673049585.96,130156417.49,394569.7267117843
2006,Frost Bank,71783,6321,3646123799.42,109282270.72,576827.0525897801
4337,Umpqua Bank,59698,6489,3430957061.88,105543562.81,528734.3291539529
1121,Cross River Bank,456756,9926,3382816214.85,131779295.42,340803.5678873665
766,"Citibank, N.A.",49274,6066,3214202002.28,98125320.14,529871.744523574
2925,Old National Bank,21641,5191,3050972583.59,90313837.71,587742.7439009825
4431,Valley National Bank,45120,4734,3020247152.09,87011272.25,637990.5264237431
1739,First National Bank of Pennsylvania,60275,5436,3004173843.32,90835092.68,552644.1948712289
3673,Synovus Bank,19248,5488,2928356658.8,90273497.26,533592.6856413995
3460,Signature Bank,224478,3858,2759262153.46,75725207.08,715205.327490928
2147,Hancock Whitney Bank,39232,4423,2665752071.97,78191688.88,602702.2545715577
