BorrowerState,LoanNumber,CurrentApprovalAmount,AverageLoanAmount
AK,2662,1337402360.8,502405.094214876
AL,10903,5587726003.25,512494.35964872054
AR,5857,2783213107.63,475194.31579819025
AS,20,5637092.33,281854.6165
AZ,15756,8078795825.57,512744.0864159685
CA,129088,68326998161.99,529305.5757466999
CO,19668,9986687390.78,507763.2393115721
CT,12880,6660854017.2,517147.0510248447
DC,4382,2507068537.69,572128.8310565952
DE,2990,1506803410.93,503947.62907357863
FL,60011,28159389372.33,469237.1293984437
GA,25787,13026188821.03,505145.5702885175
GU,443,197068609.01,444850.1332054176
HI,4981,2604225161.39,522831.7930917486
IA,8296,4640473995.23,559362.8248830761
ID,4414,2123074474.07,480986.5142886271
IL,40762,23146636222.52,567848.3936637064
IN,16594,9274764731.17,558922.7872224901
KS,8202,4709003525.22,574128.6911997074
KY,9176,5031005749.71,548278.743429599
LA,13667,7401911833.26,541590.0953581621
MA,27180,14703667820.95,540973.7976802796
MD,18955,10088608623.13,532239.9695663413
ME,4185,2065070740.86,493445.8162150537
MI,29796,16379926143.61,549735.7411602229
MN,19719,11336482133.2,574901.4723464679
MO,16338,8764458164.57,536446.2091180071
MP,82,35852052.72,437220.1551219512
MS,5505,2677773221.35,486425.65328792005
MT,3140,1462987456.44,465919.5721146497
NC,22797,11067559430.17,485483.1526152564
ND,3224,1746849899.67,541826.891957196
NE,5804,3061837011.54,527539.112946244
NH,5068,2480205856.86,489385.5281886346
NJ,32515,17420468249.72,535767.130546517
NM,4482,2228997937.55,497322.1636657743
NV,8257,4107457043.2,497451.5009325421
NY,73818,41781957202.5,566013.1296228563
OH,32641,18553631201.74,568414.9138120769
OK,9994,5155275589.55,515837.06119171507
OR,13404,6772971251.98,505294.7815562518
PA,38496,21321579453.63,553864.8029309539
PR,2951,1482984649.4,502536.3095221959
RI,3788,1934639702.74,510728.5382101373
SC,10740,5083735434.68,473345.94363873376
SD,2697,1414236675.93,524373.9992324805
TN,15866,8199321663.1,516785.6840476491
TX,76068,40134503199.51,527613.4931838618
UT,9258,4775628367.05,515838.0176117952
VA,23219,12180022149.72,524571.3488832421
VI,290,112532458.48,388042.9602758621
VT,2268,1140854799.12,503022.39820105815
WA,23621,12607122985.99,533725.2015575124
WI,17345,9635922501.41,555544.6815456904
WV,3365,1714937562.54,509639.6916909361
WY,2137,981298186.11,459194.28456247074
