,LoanNumber,LenderMatch
18,6732787302,False
19,6735557309,False
34,6733687309,False
351,9428088408,False
458,4752137304,False
522,9911267004,False
526,2547797207,False
836,6734817302,False
837,6734157305,False
906,1082347206,False
971,5112228506,False
973,3998307204,False
987,6277238610,False
1466,6870457110,False
1529,2299537406,False
1718,4499988107,False
1809,6740767307,False
1949,7044947107,False
2327,4235677108,False
2623,5680267204,False
2644,7006837108,False
2683,6949207108,False
2688,7931687206,False
2696,5128587006,False
2698,7763447008,False
2700,3354487304,False
2701,5161177003,False
2714,6763277109,False
2721,7505017103,False
2730,4955467102,False
2768,6635137010,False
2773,6044277004,False
2811,9487867105,False
2818,8981037006,False
2829,6032847110,False
2854,6702317104,False
2866,6438527010,False
2876,6049507000,False
2892,4759327207,False
2894,1299257204,False
2900,7939537201,False
2902,5775957006,False
2918,8673807010,False
2921,6316397010,False
2945,2709097409,False
2948,7353177007,False
2958,1420987105,False
2976,7967907006,False
2979,5153357107,False
2986,1694138504,False
2990,2041858407,False
3017,6096698707,False
3029,8552628908,False
3080,7889797003,False
3083,7932647000,False
3096,2033268505,False
3128,6892817003,False
3138,3175478509,False
3163,8735847007,False
3165,3739427200,False
3167,9935087003,False
3194,4477447210,False
3204,7053857106,False
3227,3353998505,False
3285,7156167005,False
3288,5516587008,False
3304,2392378505,False
3320,5051997001,False
3328,5407587107,False
3341,6433987009,False
3352,1269648710,False
3368,5638197007,False
3386,5512387304,False
3387,2616257105,False
3389,9575418302,False
3394,3160067102,False
3407,3817778606,False
3427,4208608709,False
3439,6326447005,False
3484,7436887003,False
3506,1293557101,False
3541,4370258709,False
3547,3774538407,False
3556,2656168506,False
3576,4695287306,False
3577,3416178602,False
3580,5175307006,False
3587,2613838702,False
3588,2927787108,False
3642,2169988508,False
3678,3177798308,False
3688,9599128510,False
3689,9783527004,False
3692,2374317106,False
3723,8973438603,False
3728,8734548310,False
3729,6921268305,False
3772,6283588301,False
3774,5013607010,False
3798,5994307010,False
3853,3692298403,False
3859,6900667105,False
3864,7774848905,False
3874,9492637906,False
3883,7176547009,False
3897,6145507109,False
3928,8006617008,False
4009,8088827004,False
4071,6518537100,False
4092,2247977200,False
4112,9037627204,False
4137,5042857003,False
4198,2641627100,False
4283,5609748809,False
4311,6433528301,False
4337,6539717007,False
4339,3370987105,False
4374,8652218301,False
4443,9200277000,False
4455,6017627007,False
4456,3352917102,False
4467,2957988705,False
4489,6543038809,False
4491,5266097010,False
4493,3911117106,False
4501,6677328307,False
4505,2753788506,False
4521,9142277001,False
4636,2837098508,False
4644,9062038507,False
4675,7346607203,False
4713,9095007008,False
4714,7129938502,False
4721,1795838403,False
4775,5622787002,False
4783,2338817302,False
4843,4453947202,False
4850,1091507306,False
4855,6742087101,False
4856,8822688404,False
4875,9257377105,False
4880,5011287006,False
4889,6475777101,False
4894,2122827110,False
4908,2121568305,False
4920,4693808604,False
4929,6615457004,False
4934,1042387104,False
4960,6585467201,False
4966,5123237007,False
4972,5552997108,False
4979,9505728404,False
5012,4536458504,False
5034,4984997009,False
5041,4759887102,False
5085,8137508605,False
5119,2842777106,False
5154,3411427109,False
5178,7944057204,False
5194,1204138404,False
5224,8737757106,False
5233,9214498505,False
5301,1804108410,False
5334,7944807204,False
5337,6620637004,False
5346,2619807110,False
5354,9173188509,False
5363,4724527001,False
5376,3478017109,False
5377,3973108508,False
5399,4937168501,False
5430,4019057105,False
5458,8772948302,False
5483,1299458408,False
5484,6483287107,False
5500,2231048401,False
5532,9460667104,False
5542,3713718507,False
5548,3932287110,False
5555,4268877802,False
5567,8035577204,False
5592,7070018600,False
5599,6920138310,False
5615,1976479005,False
5618,9087728803,False
5678,2172247209,False
5682,7722977203,False
5689,5094037006,False
5713,9528667003,False
5740,3934547109,False
5744,5350897006,False
5803,9219807102,False
5817,8988187008,False
5863,1615987105,False
5895,9985577104,False
5899,8386807301,False
5902,4380077101,False
5905,1692138500,False
5916,3814908504,False
5939,9744518506,False
5959,1920157110,False
5969,7393708502,False
5984,1029828401,False
6006,9840998902,False
6049,7103487101,False
6055,1551227100,False
6101,2151968308,False
6118,1662668407,False
6176,9761948508,False
6230,7903837304,False
6232,1486317302,False
6237,5098018810,False
6244,7886197005,False
6246,5629227001,False
6322,9687367200,False
6344,1530637106,False
6350,4113698308,False
6359,9506948903,False
6378,9036067004,False
6413,7719487001,False
6417,2196067208,False
6432,5092417009,False
6434,9541577005,False
6450,9948817105,False
6451,5931928410,False
6457,9351958508,False
6459,6995137003,False
6460,9550878304,False
6508,2004277110,False
6514,5369498403,False
6519,9746897305,False
6529,8146558709,False
6534,6111507100,False
6550,8323918603,False
6559,1909998502,False
6560,7276447207,False
6571,9212348502,False
6626,7595127104,False
6677,2660218609,False
6680,4369848309,False
6725,8591567006,False
6729,4539337110,False
6732,6187947001,False
6743,5740458604,False
6771,1293788401,False
6786,2747337105,False
6812,5681507010,False
6818,3603338510,False
6827,6739977107,False
6828,3899727108,False
6835,3158237106,False
6866,4937968505,False
6880,3646887101,False
6883,9352378502,False
6885,2908837202,False
6895,4431307110,False
6912,4961357100,False
6929,6886487102,False
6942,6758668306,False
6960,8966717000,False
6963,9772068303,False
6985,8102517002,False
