ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,Estimated_LenderProfit,AverageLoanAmount
"	Yankee Farm Credit, ACA",529007,10,5175424.12,138873.91999999998,517542.412
121 Financial Credit Union,94293,77,29051350.0,1065115.5,377290.25974025973
1st Advantage Bank,433128,49,20517924.93,714330.58,418733.1618367347
1st Advantage FCU,107149,5,1511384.68,61753.99,302276.936
1st Bank Yuma,233059,79,34115400.0,1103514.0,431840.5063291139
1st Bank in Hominy,59003,5,1176279.0,58813.95,235255.8
1st Bank of Sea Isle City,87061,7,1410000.0,70500.0,201428.57142857142
1st Bergen FCU,464550,2,368614.0,18430.7,184307.0
1st Capital Bank,447232,242,137821004.73,4304403.18,569508.2840082644
1st Choice CU,95038,3,484580.45,24229.02,161526.81666666668
1st Colonial Community Bank,124545,140,65544447.47,2119434.39,468174.62478571426
1st Community Bank,22568,5,1219642.6,60982.130000000005,243928.52000000002
1st Community CU,108404,1,188990.0,9449.5,188990.0
1st Community FCU,105972,8,7408900.0,169747.0,926112.5
1st Equity Bank,121519,26,16310802.0,536744.3,627338.5384615385
1st Financial Bank USA,66497,6,1565450.0,66653.6,260908.33333333334
1st MidAmerica CU,95870,4,863549.0,43177.45,215887.25
1st National Bank,57878,17,6893707.0,268470.25,405512.17647058825
1st Security Bank of Washington,107784,174,99728225.16,3095641.9,573150.7193103448
1st Source Bank,24195,1117,667047729.4,20187900.69,597177.9135183527
1st State Bank,378002,203,103027614.5,3273571.49,507525.1945812808
1st Summit Bank,65256,137,56187932.94,1984407.61,410130.8973722628
"1st Trust Bank, Inc.",426685,33,16660205.39,562721.04,504854.7087878788
1st United Bank,88765,23,9572319.47,343688.88,416187.8030434783
21st Century Bank,36718,199,78866430.28,2931022.51,396313.72000000003
22nd State Bank,2082,14,8121638.12,287524.28,580117.0085714286
360 FCU,93586,4,1017263.0,50863.15,254315.75
4Front Credit Union,98980,14,3711621.39,156106.19,265115.8135714286
5Star Bank,110204,86,42236764.27,1381867.85,491125.1659302326
A N E C A FCU,97538,13,4961698.0,193323.22,381669.07692307694
A+ FCU,105591,8,2184615.0,97487.05,273076.875
"A10Capital, LLC",530323,737,303388416.32,11251192.19,411653.2107462686
AB&T,123991,50,25502405.62,820399.57,510048.11240000004
ABNB FCU,107222,20,8595598.61,321726.08,429779.93049999996
ACB Bank,58834,5,2251626.0,70839.12,450325.2
ACMG FCU,101202,1,190098.57,9504.93,190098.57
ACNB Bank,60227,329,142809004.92,4808460.39,434069.9237689969
ACT 1st FCU,98020,1,176375.0,8818.75,176375.0
AEA FCU,91255,3,576813.84,28840.699999999997,192271.28
AG CREDIT ACA,528997,12,8958125.27,226511.01,746510.4391666666
AMG National Trust Bank,227670,13,16059079.56,315679.6,1235313.8123076924
"AMPAC Tri-State CDC, Inc.",447142,7,1050000.0,52500.0,150000.0
ANB Bank,15169,573,264159237.1,8763118.72,461010.884991274
"ANZ Guam, Inc",117057,33,11940948.81,440246.23,361846.93363636365
AVB Bank,58801,61,24092775.22,877214.61,394963.5281967213
Abacus Federal Savings Bank,90626,2,631088.0,22874.68,315544.0
Abanca Corporation,531122,1,1373330.0,41199.9,1373330.0
"Abbeville First Bank, SSB",87654,9,4144345.45,152121.22,460482.8277777778
Abbey CU Inc,102587,2,391132.0,19556.6,195566.0
AbbyBank,75540,53,21852754.3,746466.84,412316.11886792455
Abington Bank,89069,59,21314163.83,815570.59,361257.0140677966
"Academy Bank, National Association",15727,387,198603416.95,6264555.28,513187.12390180875
Acadia FCU,97901,10,3695098.0,134384.9,369509.8
Access Bank,452526,180,90360140.0,2908803.36,502000.77777777775
Access FCU,101739,1,225000.0,11250.0,225000.0
Access to Capital for Entrepreneurs,428018,11,1979355.5,98967.78,179941.4090909091
Accompany Capital,468666,7,1411912.5,70595.62,201701.7857142857
Achieva CU,94636,82,19648884.55,876597.41,239620.54329268294
Adams Bank & Trust,42396,128,51645707.72,1913770.78,403482.0915625
Adams Community Bank,30944,51,18031844.33,704892.28,353565.5750980392
Adams County Bank,42262,2,955908.0,33035.240000000005,477954.0
Addition Financial CU,94548,36,9682435.95,432042.49,268956.55416666664
Adirondack Bank,120225,173,74908586.52,2550358.98,432997.6099421965
Adirondack Regional FCU,101910,13,5667940.5,209343.05,435995.42307692306
